name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Andrew Bogut","Golden State Warriors",2016-02-24,2015,2747,1610612744,400828735,2,11,24,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Miami Heat",0,1,0,0.00,,0.00,0.00
"Gerald Henderson","Portland Trail Blazers",2016-02-19,2015,3993,1610612757,400828702,2,10,57,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Golden State Warriors",0,1,0,0.00,,0.00,0.00
"Alonzo Gee","New Orleans Pelicans",2016-02-19,2015,4232,1610612740,400828698,2,9,23,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Philadelphia 76ers",0,1,0,0.00,,0.00,0.00
"Anthony Davis","New Orleans Pelicans",2016-02-08,2015,6583,1610612740,400828669,1,8,30,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Minnesota Timberwolves",0,1,0,0.00,,0.00,0.00
"DeAndre Jordan","Los Angeles Clippers",2016-02-26,2015,3442,1610612746,400828754,2,6,00,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Sacramento Kings",0,1,0,0.00,,0.00,0.00
"Andre Drummond","Detroit Pistons",2016-02-08,2015,6585,1610612765,400828666,3,5,00,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Toronto Raptors",0,1,0,0.00,,0.00,0.00
"Steven Adams","Oklahoma City Thunder",2016-02-21,2015,2991235,1610612760,400828711,2,3,24,0,"Alley Oop Dunk Shot","2PT Field Goal",0,"Cleveland Cavaliers",0,1,0,0.00,,0.00,0.00
"Timofey Mozgov","Cleveland Cavaliers",2016-02-08,2015,4298,1610612739,400828662,2,8,31,0,"Alley Oop Dunk Shot","2PT Field Goal",0,"Sacramento Kings",0,1,0,0.00,,0.00,0.00
"Nerlens Noel","Philadelphia 76ers",2016-02-26,2015,2991280,1610612755,400828749,3,9,34,0,"Alley Oop Dunk Shot","2PT Field Goal",0,"Washington Wizards",0,1,0,0.00,,0.00,0.00
"DeAndre Jordan","Los Angeles Clippers",2016-02-03,2015,3442,1610612746,400828632,3,9,35,1,"Alley Oop Dunk Shot","2PT Field Goal",2,"Minnesota Timberwolves",-17,16,0,0.00,,0.00,0.00
"Thaddeus Young","Brooklyn Nets",2016-02-21,2015,3244,1610612751,400828714,2,1,21,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Charlotte Hornets",0,1,0,0.00,,0.00,0.00
"Dwight Howard","Houston Rockets",2016-02-19,2015,2384,1610612745,400828701,1,9,32,0,"Alley Oop Dunk Shot","2PT Field Goal",1,"Phoenix Suns",-10,0,0,0.00,,0.00,0.00
"DeAndre Jordan","Los Angeles Clippers",2016-02-26,2015,3442,1610612746,400828754,3,2,59,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Sacramento Kings",0,1,0,0.00,,0.00,0.00
"Anthony Davis","New Orleans Pelicans",2016-02-08,2015,6583,1610612740,400828669,1,4,08,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Minnesota Timberwolves",0,1,0,0.00,,0.00,0.00
